station_name,station_code,station_category,division,zone,district,state
KUMBHAWAS MUNDHALIA,KWMD,HG2,DELHI,NR,GURUGRAM,HARYANA
NEW KAITHAL HALT,NKLE,HG2,DELHI,NR,KAITHAL,HARYANA
THANA BHAWAN TOWN,TBTN,HG2,DELHI,NR,SHAMLI,UTTAR PRADESH
AHERA,AHQ,HG3,DELHI,NR,BAGHPAT,UTTAR PRADESH
AILAM HALT,AILM,HG3,DELHI,NR,MUZAFFARNAGAR,UTTAR PRADESH
ALAWALPUR IDRISPUR,AIH,HG3,DELHI,NR,BAGHPAT,UTTAR PRADESH
ANAND VIHAR HALT,ANVR,HG3,DELHI,NR,NORTH EAST,DELHI
ASAN,ASAN,HG3,DELHI,NR,JIND,HARYANA
ASRA HALT,ASAR,HG3,DELHI,NR,BAGHPAT,UTTAR PRADESH
BARKA HALT,BADK,HG3,DELHI,NR,BAGHPAT,UTTAR PRADESH
BARWASNI HALT,BRNI,HG3,DELHI,NR,SONIPAT,HARYANA
BAWLI HALT,BAOL,HG3,DELHI,NR,BAGHPAT,UTTAR PRADESH
BEHTA HAZIPUR,BHHZ,HG3,DELHI,NR,GHAZIABAD,UTTAR PRADESH
BHAINSWAN,BASN,HG3,DELHI,NR,SONIPAT,HARYANA
BHAMBHEWA,BHMW,HG3,DELHI,NR,ROHTAK,HARYANA
BHANKALA,BNQL,HG3,DELHI,NR,SAHARANPUR,UTTAR PRADESH
BHUDPUR,BDHP,HG3,DELHI,NR,BAGHPAT,UTTAR PRADESH
BINJHOL,BNJL,HG3,DELHI,NR,PANIPAT,HARYANA
BUDHA KHERA,BKDE,HG3,DELHI,NR,JIND,HARYANA
BUTANA HALT,BUTN,HG3,DELHI,NR,KARNAL,HARYANA
CHANAKYAPURI,CNKP,HG3,DELHI,NR,SOUTH WEST,DELHI
CHANDER NAGAR HALT,CNJ,HG3,DELHI,NR,NORTH EAST,DELHI
DATEWAS,DTW,HG3,DELHI,NR,MANSA,PUNJAB
DHURANA,DHRN,HG3,DELHI,NR,SONIPAT,HARYANA
DIGHAL,DGHL,HG3,DELHI,NR,JHAJJAR,HARYANA
DUHAI,DXH,HG3,DELHI,NR,GHAZIABAD,UTTAR PRADESH
FAKHARPUR HALT,FAP,HG3,DELHI,NR,BAGHPAT,UTTAR PRADESH
GAON BARODA,GNBA,HG3,DELHI,NR,JIND,HARYANA
GEONG HALT,GXG,HG3,DELHI,NR,KAITHAL,HARYANA
GOKALGARH,GKG,HG3,DELHI,NR,REWARI,HARYANA
GOKULPUR SABOLI HALT,GPSL,HG3,DELHI,NR,NORTH EAST,DELHI
GOTRA,GTRA,HG3,DELHI,NR,BAGHPAT,UTTAR PRADESH
GUJRAN-BALWA HALT,GLBN,HG3,DELHI,NR,SHAMLI,UTTAR PRADESH
GURTHURI,GRZ,HG3,DELHI,NR,JIND,HARYANA
HARHAR FATEHPUR,HHP,HG3,DELHI,NR,MUZAFFARNAGAR,UTTAR PRADESH
HARSANA KALAN,HNN,HG3,DELHI,NR,SONIPAT,HARYANA
ISHAPUR KHERI HALT,ISRI,HG3,DELHI,NR,SONIPAT,HARYANA
ISRANA HALT,IRA,HG3,DELHI,NR,PANIPAT,HARYANA
JANDHERA HALT,JDHH,HG3,DELHI,NR,SAHARANPUR,UTTAR PRADESH
JASIA HALT,JSS,HG3,DELHI,NR,ROHTAK,HARYANA
KAHANGARH HALT,KAGR,HG3,DELHI,NR,MANSA,PUNJAB
KALWAN HALT,KLWN,HG3,DELHI,NR,JIND,HARYANA
KARSINDHU HALT,KSDE,HG3,DELHI,NR,JIND,HARYANA
KHANDARI HALT,KHDR,HG3,DELHI,NR,SONIPAT,HARYANA
KHANDRAWALI HALT,KZI,HG3,DELHI,NR,SHAMLI,UTTAR PRADESH
KIRTINAGAR HALT,KRTN,HG3,DELHI,NR,WEST,DELHI
KOHAND HALT,KFU,HG3,DELHI,NR,KARNAL,HARYANA
